"DISORDER"	"SAMPLEID"	"PVALUE"	"FDR"
"Anorexia Nervosa(C0003125)"	2489	"3.96148521537378e-10"	0.0001044687
"Anorexia Nervosa(C0003125)"	2489	"3.96148521537378e-10"	0.0001044687
"Alcoholism(C0001973)"	1924	"4.115109456923e-10"	0.0001085191
"Alcoholism(C0001973)"	1924	"4.115109456923e-10"	0.0001085191
"Schizophrenia(C0036341)"	2479	"4.19584725361617e-10"	0.0001106474
"Schizophrenia(C0036341)"	2479	"4.19584725361617e-10"	0.0001106474
"Borderline Personality Disorder(C0006012)"	3098	"4.39327011654425e-10"	0.0001158527
"Borderline Personality Disorder(C0006012)"	3098	"4.39327011654425e-10"	0.0001158527
"Mood Disorders(C0525045)"	1974	"4.65345138847705e-10"	0.0001227129
"Mood Disorders(C0525045)"	1974	"4.65345138847705e-10"	0.0001227129
"Obsessive-Compulsive Disorder(C0028768)"	3250	"4.73540560702424e-10"	0.0001248731
"Obsessive-Compulsive Disorder(C0028768)"	3250	"4.73540560702424e-10"	0.0001248731
"Autistic Disorder(C0004352)"	3317	"4.76742512921576e-10"	0.0001257165
"Autistic Disorder(C0004352)"	3317	"4.76742512921576e-10"	0.0001257165
"Anorexia Nervosa(C0003125)"	3209	"4.83829144586987e-10"	0.0001275843
"Anorexia Nervosa(C0003125)"	3209	"4.83829144586987e-10"	0.0001275843
"Conduct Disorder(C0149654)"	1923	"4.84577794233037e-10"	0.0001277807
"Conduct Disorder(C0149654)"	1923	"4.84577794233037e-10"	0.0001277807
"Schizophrenia(C0036341)"	2480	"4.98460042871711e-10"	0.0001314404
"Schizophrenia(C0036341)"	2480	"4.98460042871711e-10"	0.0001314404
"Bipolar Disorder(C0005586)"	1974	"5.52768432504779e-10"	0.000145759
"Bipolar Disorder(C0005586)"	1974	"5.52768432504779e-10"	0.000145759
"Schizophrenia(C0036341)"	3119	"5.53958900818826e-10"	0.0001460718
"Schizophrenia(C0036341)"	3119	"5.53958900818826e-10"	0.0001460718
