"MALACARDS_CLASS"	"MALACARDS_DISEASE"	"PHENOPEDIA_INDEX"	"PHENOPEDIA_GENE"			
"P"	"Bipolar Disorder"	287	"Bipolar Disorder(C0005586)"			
"P"	"Frontotemporal Dementia"	937	"Frontotemporal Dementia(C0338451)"			
"P"	"Alzheimer's Disease"	108	"Alzheimer Disease(C0002395)"			
"P"	"Amyotrophic Lateral Sclerosis with Frontotemporal Dementia"	120	"Amyotrophic Lateral Sclerosis(C0002736)"			
"P"	"Alopecia Mental Retardation Syndrome 2"	100	"NO MATCH"			
"P"	"Renpenning Syndrome"		"NO MATCH"			
"P"	"Baraitser-Winter Syndrome 1"		"NO MATCH"			
"P"	"Amyotrophic Lateral Sclerosis-Parkinsonism/dementia Complex"	120	"Amyotrophic Lateral Sclerosis(C0002736)"			
"P"	"Syndactyly Type 1 with Cataracts and Mental Retardation"		"NO MATCH"			
"P"	"Rett Syndrome"	2254	"Rett Syndrome(C0035372)"			
"P"	"Focal Segmental Glomerulosclerosis"		"NO MATCH"			
"P"	"Mental Retardation"	" X-Linked"	" Syndromic 15"	1616	"Mental Retardation"	" X-Linked(C1136249)"
"P"	"Spinocerebellar Ataxia Type 6"	2414	"Spinocerebellar Ataxias(C0087012)"			
"P"	"Spinocerebellar Ataxia X-Linked Type 3"	2414	"Spinocerebellar Ataxias(C0087012)"			
"P"	"Mental Health Wellness-1"		"NO MATCH"			
"P"	"Mental Retardation Progressive Spasticity"	1615	"Mental Retardation(C0025362)"			
"P"	"Creutzfeldt-Jakob Disease"	593	"Creutzfeldt-Jakob Syndrome(C0022336)"			
"P"	"Intellectual Disability"	664	"Developmental Disabilities(C0008073)"			
"P"	"Parkinson's Disease"	1960	"Parkinson Disease(C0030567)"			
"P"	"Rubinstein-Taybi Syndrome"	2276	"Rubinstein-Taybi Syndrome(C0035934)"			
"P"	"Alexander Disease"		"NO MATCH"			
"P"	"Pitt-Hopkins Syndrome"		"NO MATCH"			
"P"	"Mental Retardation"	" X-Linked 3"	1616	"Mental Retardation"	" X-Linked(C1136249)"	
"P"	"Cerebellar Ataxia"	" Mental Retardation"	" and Dysequilibrium Syndrome 4"	439	"Cerebellar Ataxia(C0007758)"	
"P"	"Fucosidosis"		"NO MATCH"			
"P"	"Coffin-Siris Syndrome"		"NO MATCH"			
"P"	"Warburg Micro Syndrome 1"	1615	"Mental Retardation(C0025362)"			
"P"	"Marinesco-Sjögren Syndrome"		"NO MATCH"			
"P"	"Mental Retardation"	" Autosomal Recessive 43"	1615	"Mental Retardation(C0025362)"		
